Dia da Semana,Características reais da sala,Características da sala pedida para a aula,Turno,﻿Curso,Unidade de execução,Turnos com capacidade superior à capacidade das características das salas,Fim,Início,Inscritos no turno (no 1º semestre é baseado em estimativas),Turma,Turno com inscrições superiores à capacidade das salas,Lotação,Sala da aula,Dia
Ter,"BYOD (Bring Your Own Device),Sala de Aulas normal,FEmpTP02,LG,Finanças de Empresa,FALSO,11:00:00,09:30:00,41,GC5,FALSO,56,C6.08,9/22/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,12/9/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,12/2/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,11/25/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,11/18/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,11/11/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,11/4/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,10/28/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,10/21/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,10/14/2015
Qua,"Sala Aulas Mestrado Plus,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,70,C4.06,10/7/2015
Qua,"Horário sala visível portal público,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,50,1E02,9/30/2015
Qua,"Horário sala visível portal público,Sala de Aulas normal,02129-1TP03,LIGE,Estratégia Organizacional,FALSO,12:30:00,11:00:00,57,ID1,VERDADEIRO,50,1E02,9/23/2015
Seg,,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,,,11/23/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,11/16/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,11/9/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,11/2/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,10/26/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,10/12/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,10/5/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,9/28/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,9/21/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,54,Auditório Silva Leal,9/14/2015
Qua,,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,,,11/25/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,11/18/2015
Qua,"Horário sala visível portal público,Laboratório de Informática,M3505TP03,MG,Análise de Dados (2.º Ciclo),FALSO,12:30:00,11:00:00,40,MGA3,FALSO,50,D1.09,11/11/2015
